Hotel Name,Ratings,Like/Dislike,Traveller,Reviews
The Omni King Edward Hotel,5,Liked,Travelled with family,I loved the historic interior of the hotel. The staff was very friendly and satisfied all requests in a timely manner. I highly recommend staying at this hotel as it was valuable and close range to basically everything in the city.
The Omni King Edward Hotel,5,Liked,Business Traveller,I love everything about the hotel. It was clean and very high class. Checking in and out was easy and no issues. It is so quiet and relaxing which was the reason I went there for. I will stay there again and actually it's the best hotel I have ever been. I am making this hotel my number one get away relaxing hotel. I love it!
The Omni King Edward Hotel,5,Liked,Travelled with partner,"The room was very clean, spacious and nicely decorated"
The Omni King Edward Hotel,2,Disliked,Business Traveller,"I wasn’t asked to upgrade my room. I started itching from the beds sheets after laying in the bed. There was no free water, I had to pay $1.75 for 4 waters. The room was extremely small and they claimed I was in an executive suite but it was a standard room. The parking was horrible and separated building and had no connection to the hotel. There was no food in the rooms we had to call Uber eats. They are promoting and advertising a restaurant and when I arrived there was a empty hotel."
The Omni King Edward Hotel,4,Liked,Travelled with family,Everything was great except the parking was not convenient
"Holiday Inn Toronto Downtown Centre, an IHG Hotel",5,Liked,Business Traveller,"Good location and nice, affordable hotel. Staff was helpful and friendly."
"Holiday Inn Toronto Downtown Centre, an IHG Hotel",4,Liked,Travelled with partner,"location is great, close to TTC subway station and downtown eaton center, but in room equipment should have some upgrade, there's no USB charger outlet available."
"Holiday Inn Toronto Downtown Centre, an IHG Hotel",4,Liked,Travelled with partner,Nice place to stay for an affordable price. The beds are large and comfortable. The washrooms are clean and well organized.
"Holiday Inn Toronto Downtown Centre, an IHG Hotel",4,Liked,Travelled with family,Bed was comfy and bathroom was nice. View wasn't great.
"Holiday Inn Toronto Downtown Centre, an IHG Hotel",5,Liked,Business Traveller,The way the hotel has handled covid-19 restrictions is great.
Four Seasons Hotel Toronto,5,Liked,Travelled with partner,"Difficult to truly describe the level of service, from the doormen to the person checking your temperature before you enter the lobby the attention to detail was incredible. Room service was on time and piping hot with our maple salmon and again with breakfast in the morning. I can’t express how impressive the entire staff was. Lastly the hotel is spotless, gorgeous and modern."
Four Seasons Hotel Toronto,5,Liked,Business Traveller,"Four Seasons Hotel had one of the most exceptional services and every single staffs were very friendly and provided the best comfort to us. Also, kept our room very clean and beautiful every time, when we ask for housekeeping. Room service was also great!"
Four Seasons Hotel Toronto,5,Liked,Travelled with family,"The decor was amazing! Staff incredibly friendly and accommodating. Only negative was COFFEE!! the espresso bar in the room is nice, bur my husband and i are COFFEE drinkers, and it was kind of a hide n seek game tonfind a place within the hotel to get a tall, black coffee. We ended up purchasing ""to-go"" cups from the cafe boulard, but it seeked a littlebstrange to not have an actual coffee shop or coffee bar elsewhere."
Four Seasons Hotel Toronto,5,Liked,Business Traveller,"I had a late check-in on New Years Eve, and Ethan was super helpful and kind. He made the check-in process quick, and we were able to get to our room to freshen up. When we got to the room, it was very clean, well-conditioned, and the room was beautifully decorated. Once we have freshen up and headed downstairs, Ethan offered to walked us over to the hotel bar where they had a New Years Eve celebration. Since we were hotel guests, the cover charge was discounted and we got to skip the waiting line. You can never go wrong at any Four Seasons property, and the Toronto location is no exception! Most importantly, thank you Ethan for the outstanding service. We look forward to coming back!"
Four Seasons Hotel Toronto,4,Liked,Travelled with partner,Good Property in a good location. My only reservation is that the room we were assigned was substandard relative to the category for which we paid.
The Yorkville Royal Sonesta Hotel Toronto,5,Liked,Business Traveller,"Amazing location, wonderful staff, and the facilities are impecable. Will stay again!"
The Yorkville Royal Sonesta Hotel Toronto,1,Disliked,Business Traveller,"I must say I was super disappointed with this hotel. On the first day I was given expired Nespresso pods, the housekeeper tried to tell me it was the manufacturing date, although it clearly said it was the expiry and the manufacturing date was also listed separately and clearly labeled. At one point my TV wasn’t working, at another point the wifi was down (although this was dealt with relatively quickly) and on one night my shower ran completely cold, which was arguably the most upsetting part because I was forced to take a cold shower. I’d recommend looking into other hotels."
