,Hotel Name,Reviews,Polarity,Subjectivity,Positive,Image url
0,The Omni King Edward Hotel,I loved the historic interior of the hotel. The staff was very friendly and satisfied all requests in a timely manner. I highly recommend staying at this hotel as it was valuable and close range to basically everything in the city.,0.449166667,0.663333333,Positive,https://images.trvl-media.com/hotels/1000000/30000/25800/25713/9ecbbd80.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
1,The Omni King Edward Hotel,I love everything about the hotel. It was clean and very high class. Checking in and out was easy and no issues. It is so quiet and relaxing which was the reason I went there for. I will stay there again and actually it's the best hotel I have ever been. I am making this hotel my number one get away relaxing hotel. I love it!,0.262444444,0.505888889,Positive,https://images.trvl-media.com/hotels/1000000/30000/25800/25713/9ecbbd80.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
2,The Omni King Edward Hotel,"The room was very clean, spacious and nicely decorated",0.538333333,0.955,Positive,https://images.trvl-media.com/hotels/1000000/30000/25800/25713/9ecbbd80.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
3,The Omni King Edward Hotel,"I wasn’t asked to upgrade my room. I started itching from the beds sheets after laying in the bed. There was no free water, I had to pay $1.75 for 4 waters. The room was extremely small and they claimed I was in an executive suite but it was a standard room. The parking was horrible and separated building and had no connection to the hotel. There was no food in the rooms we had to call Uber eats. They are promoting and advertising a restaurant and when I arrived there was a empty hotel.",-0.35625,0.825,Negative,https://images.trvl-media.com/hotels/1000000/30000/25800/25713/9ecbbd80.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
4,The Omni King Edward Hotel,Everything was great except the parking was not convenient,0.8,0.75,Positive,https://images.trvl-media.com/hotels/1000000/30000/25800/25713/9ecbbd80.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
5,"Holiday Inn Toronto Downtown Centre, an IHG Hotel","Good location and nice, affordable hotel. Staff was helpful and friendly.",0.558333333,0.7,Positive,https://images.trvl-media.com/hotels/1000000/30000/26300/26247/f8df1147.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
6,"Holiday Inn Toronto Downtown Centre, an IHG Hotel","location is great, close to TTC subway station and downtown eaton center, but in room equipment should have some upgrade, there's no USB charger outlet available.",0.366666667,0.416666667,Positive,https://images.trvl-media.com/hotels/1000000/30000/26300/26247/f8df1147.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
7,"Holiday Inn Toronto Downtown Centre, an IHG Hotel",Nice place to stay for an affordable price. The beds are large and comfortable. The washrooms are clean and well organized.,0.395238095,0.732142857,Positive,https://images.trvl-media.com/hotels/1000000/30000/26300/26247/f8df1147.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
8,"Holiday Inn Toronto Downtown Centre, an IHG Hotel",Bed was comfy and bathroom was nice. View wasn't great.,0.7,0.875,Positive,https://images.trvl-media.com/hotels/1000000/30000/26300/26247/f8df1147.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
9,"Holiday Inn Toronto Downtown Centre, an IHG Hotel",The way the hotel has handled covid-19 restrictions is great.,0.8,0.75,Positive,https://images.trvl-media.com/hotels/1000000/30000/26300/26247/f8df1147.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
10,Four Seasons Hotel Toronto,"Difficult to truly describe the level of service, from the doormen to the person checking your temperature before you enter the lobby the attention to detail was incredible. Room service was on time and piping hot with our maple salmon and again with breakfast in the morning. I can’t express how impressive the entire staff was. Lastly the hotel is spotless, gorgeous and modern.",0.17,0.735,Neutral,https://images.trvl-media.com/hotels/1000000/20000/14400/14358/59c5f725.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
11,Four Seasons Hotel Toronto,"Four Seasons Hotel had one of the most exceptional services and every single staffs were very friendly and provided the best comfort to us. Also, kept our room very clean and beautiful every time, when we ask for housekeeping. Room service was also great!",0.656166667,0.862,Positive,https://images.trvl-media.com/hotels/1000000/20000/14400/14358/59c5f725.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
12,Four Seasons Hotel Toronto,"The decor was amazing! Staff incredibly friendly and accommodating. Only negative was COFFEE!! the espresso bar in the room is nice, bur my husband and i are COFFEE drinkers, and it was kind of a hide n seek game tonfind a place within the hotel to get a tall, black coffee. We ended up purchasing ""to-go"" cups from the cafe boulard, but it seeked a littlebstrange to not have an actual coffee shop or coffee bar elsewhere.",0.14537037,0.625925926,Neutral,https://images.trvl-media.com/hotels/1000000/20000/14400/14358/59c5f725.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
13,Four Seasons Hotel Toronto,"I had a late check-in on New Years Eve, and Ethan was super helpful and kind. He made the check-in process quick, and we were able to get to our room to freshen up. When we got to the room, it was very clean, well-conditioned, and the room was beautifully decorated. Once we have freshen up and headed downstairs, Ethan offered to walked us over to the hotel bar where they had a New Years Eve celebration. Since we were hotel guests, the cover charge was discounted and we got to skip the waiting line. You can never go wrong at any Four Seasons property, and the Toronto location is no exception! Most importantly, thank you Ethan for the outstanding service. We look forward to coming back!",0.206430976,0.63608165,Positive,https://images.trvl-media.com/hotels/1000000/20000/14400/14358/59c5f725.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
14,Four Seasons Hotel Toronto,Good Property in a good location. My only reservation is that the room we were assigned was substandard relative to the category for which we paid.,0.35,0.55,Positive,https://images.trvl-media.com/hotels/1000000/20000/14400/14358/59c5f725.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
15,The Yorkville Royal Sonesta Hotel Toronto,"Amazing location, wonderful staff, and the facilities are impecable. Will stay again!",0.8,0.95,Positive,https://images.trvl-media.com/hotels/1000000/10000/9500/9495/8dcc662f.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
16,The Yorkville Royal Sonesta Hotel Toronto,"I must say I was super disappointed with this hotel. On the first day I was given expired Nespresso pods, the housekeeper tried to tell me it was the manufacturing date, although it clearly said it was the expiry and the manufacturing date was also listed separately and clearly labeled. At one point my TV wasn’t working, at another point the wifi was down (although this was dealt with relatively quickly) and on one night my shower ran completely cold, which was arguably the most upsetting part because I was forced to take a cold shower. I’d recommend looking into other hotels.",-0.155902778,0.516319444,Negative,https://images.trvl-media.com/hotels/1000000/10000/9500/9495/8dcc662f.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
17,The Yorkville Royal Sonesta Hotel Toronto,"The room was spacious and clean. We liked the view of the private backyard, it meant we could open the window to get fresh air. The air conditioning wasn't on, probably owing to time of year. The A/C fan was a bit noisy. COVID restrictions were in place so it allowed us to try room service and found it to be excellent.",0.393333333,0.675,Positive,https://images.trvl-media.com/hotels/1000000/10000/9500/9495/8dcc662f.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
18,The Yorkville Royal Sonesta Hotel Toronto,"Our room was very clean and the king sized bed was comfortable. Recommended. Avoid the expensive valet parking. Instead, access the green P parking lot off Bedford, which is right behind/under the building.",0.240595238,0.636428571,Positive,https://images.trvl-media.com/hotels/1000000/10000/9500/9495/8dcc662f.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
